Package Name,Category
com.kbspresence,Productivity
com.king.farmheroessaga,Casual
com.verizon.fios.tv,Entertainment
com.formasystems.fuelbook,Maps & Navigation
com.smallgiantgames.empires,Puzzle
com.vottzapps.wordle,Word
com.bidfta.mobile,Shopping
com.bandlab.audiostretch,Music & Audio
com.Curri.Driver,Business
com.turvo.mobile.driver,Business
org.owntracks.android,Travel & Local
com.google.android.as.oss,Tools
com.justgame.jails,Strategy
com.cargurus.mobileApp,Auto & Vehicles
com.ea.game.pvzfree_row,Strategy
com.playvalve.dominoes,Board
com.brootrash.trybestscore,
com.govee.home,Tools
com.remi.keyboard.keyboardtheme,Personalization
com.workday.workdroidapp,Business
com.papaya.bingocash,
com.mlssoccer,Sports
com.bigcake.android.mahjongmatch,Board
com.jaga.ibraceletplus.jyring,Health & Fitness
io.voodoo.holeio,Arcade
com.samsung.android.game.gamehome,
ac.accp.cleaner,
com.msandroid.mobile,
com.quyin.phomemo,Tools
com.williamsinteractive.jackpotparty,Casino
app.rvx.android.youtube,
com.huffingtonpost.android,News & Magazines
com.amazon.imdb.tv.mobile.app,Entertainment
com.wildlifestudios.merge.slot.gilded.gardens,Puzzle
org.dpkpnvv.kknf,
com.anran.arcloud,Lifestyle
com.clean.fast.launcher,
com.alk.copilot.mapviewer,Maps & Navigation
org.npr.android.news,News & Magazines
com.nbaimd.gametime.nba2011,Sports
org.fortfinancial.banking,Finance
com.alibaba.android.rimet.cattcome,
com.hickeyapp.app.android,Dating
com.funcraft.diceyatzy,Board
com.samsung.android.gearnplugin,Tools
com.android.dreams.phototable,
com.escort.androidui.root,Maps & Navigation
com.kingsgroup.sos,Strategy
com.apalon.myclock,
in.playsimple.wordbingo,Word
com.bungii.driver,Lifestyle
com.tech.gm.pegasusdriver,Productivity
com.kurogame.wutheringwaves.global,Action
com.propx.driverapp,Productivity
com.servicetitan.mobile,Business
wb.mobile.cx.client.droid,Food & Drink
de.motain.iliga,Sports
com.citizens.mobile.national,Finance
com.nexus.cleaner.yuyio,Tools
com.mxtech.videoplayer.pro,
com.contorra.golfpad,Sports
com.tripledot.tile.dynasty,Casual
com.philips.hearlink2,Medical
com.gamesworkshop.blacklibraryaudio,Music & Audio
com.mergeland.alices.wonder.adventure,Puzzle
com.tapcolor.color.coloring.number.paint.free,Board
com.relayrides.android.relayrides,Travel & Local
com.pkg.ir,Business
find.difference.spot.differences.hidden.puzzle.games.free,Puzzle
israelfm.mobile,
com.valueme,Lifestyle
com.softek.ofxclmobile.innovationsfcu,Finance
com.bible.holy.bible.for.women,Books & Reference
com.mm.android.smartlifeiot,Lifestyle
gofasting.fastingtracker.fasting.intermittentfasting,Health & Fitness
com.onewire,News & Magazines
com.LCSAccess.LcMain,Travel & Local
com.basevelocity.radarscope,Weather
com.rapid.short.tv,Entertainment
com.samsung.android.mdx.quickboard,
com.postmates.android,Food & Drink
com.papaya.bubblecash,
com.instabridge.android,Travel & Local
com.riotgames.league.teamfighttactics,Strategy
com.citi.citimobile,Finance
net.peakgames.mobile.spades.android,Card
com.smp.musicspeed,Music & Audio
com.ddup.zombiewaves.zw,Adventure
com.emn8.mobilem8.nativeapp.popeyes,Food & Drink
com.coxauto.logistics.mobile.cd,Auto & Vehicles
com.myisolved.aee.twa,Business
com.goldennugget.casino,Casino
com.instaworkmobile,Business
mobi.drupe.app,Communication
com.samsung.android.liveeffectservice,
com.packagerouteclient,Business
com.beaconsoftco.dadrivermobile,Business
com.gamovation.mahjongclub,Board
com.com2us.smon.normal.freefull.google.kr.android.common,Role Playing
com.chief.mobile,Productivity
com.secure.erase.plote,Tools
de.gmx.mobile.android.mail,Communication
com.loadcomplete.aichainsaw,Arcade
com.knighteld.android,Auto & Vehicles
dji.go.v5,
com.mobilityware.freecell,Card
com.apalon.weatherradar.free,Weather
com.pegasustranstech.transflomobileplus.ctgmobile,Business
com.easyexpense,Business
com.naturalcycles.cordova,Medical
com.expressvpn.vpn,Tools
com.hopskipdrive.driver,Business
com.adidas.app,Shopping
com.easybrain.word.puzzle.game,Word
com.screenshake.dominodreams,Puzzle
com.fatix.fatixpro,Tools
com.connexx.rta,Medical
com.samsung.ecomm,Shopping
com.borgatapoker.casino.wrapper,Casino
com.ebates,Shopping
com.untappdllc.app,Food & Drink
com.flyclops.domino.android,Board
cb.clean.boost,
com.gimica.blockbuster,Puzzle
